Inh L1-6 LAMP5 CA13	LAMP5
Inh LAMP5 NRG1 (Rosehip)	LAMP5
Inh LAMP5 RELN	LAMP5
Inh L1 PAX6 CA4	PAX6
Inh L1-2 PAX6 SCGN	PAX6
Inh GPC5 RIT2	PVALB
Inh L5-6 PVALB STON2	PVALB
Inh PVALB CA8 (Chandelier)	PVALB
Inh PVALB HTR4	PVALB
Inh PVALB SULF1	PVALB
Inh CUX2 MSR1	SST
Inh ENOX2 SPHKAP	SST
Inh FBN2 EPB41L4A	SST
Inh L3-5 SST MAFB	SST
Inh L5-6 SST TH	SST
Inh L6 SST NPY	SST
Inh ALCAM TRPM3	VIP
Inh PTPRK FAM19A1	VIP
Inh RYR3 TSHZ2	VIP
Inh SGCD PDE3A	VIP
Inh SORCS1 TTN	VIP
Inh VIP ABI3BP	VIP
Inh VIP CLSTN2	VIP
Inh VIP THSD7B	VIP
Inh VIP TSHZ2	VIP
